country_name,iso3c,gwno,iso_n,gwc,total_fatalities,nr_events,polygon_tooltip,from,to,length,last_update
Niger,NER,436.0,562.0,NIR,1324,93,"There have been an estimated 1324 fatalities recorded in Niger from 93 events in 7 conflict dyads (Niger: Islamic State, Niger: Government, Burkina Faso: Government, IS - Civilians, Nigeria: Government, JNIM - Civilians, IS - JAS), since September 2023. The most recent conflict event was on 26 August 2024.",September 2023,August 2024,12 months,UCDP GED Candidate (August 2024)
Burkina Faso,BFA,439.0,854.0,BFO,4745,386,"There have been an estimated 4745 fatalities recorded in Burkina Faso from 386 events in 7 conflict dyads (IS - JNIM, Burkina Faso: Islamic State, Burkina Faso: Government, JNIM - Civilians, Government of Mali - Civilians, Government of Burkina Faso - Civilians, IS - Civilians), since September 2023. The most recent conflict event was on 30 August 2024.",September 2023,August 2024,12 months,UCDP GED Candidate (August 2024)
Togo,TGO,461.0,768.0,TOG,24,6,"There have been an estimated 24 fatalities recorded in Togo from 6 events in 2 conflict dyads (JNIM - Civilians, Togo: Government), since September 2023. The most recent conflict event was on 07 August 2024.",September 2023,August 2024,12 months,UCDP GED Candidate (August 2024)
Cameroon,CMR,471.0,120.0,CAO,477,196,"There have been an estimated 477 fatalities recorded in Cameroon from 196 events in 6 conflict dyads (Cameroon: Government, JAS - Civilians, Cameroon: Islamic State, Ambazonia insurgents - Civilians, Cameroon: Ambazonia, IS - Civilians), since September 2023. The most recent conflict event was on 28 August 2024.",September 2023,August 2024,12 months,UCDP GED Candidate (August 2024)
Nigeria,NGA,475.0,566.0,NIG,2470,400,"There have been an estimated 2470 fatalities recorded in Nigeria from 400 events in 12 conflict dyads (Nigeria: Islamic State, IS - Civilians, Fulani - Tiv, IS - JAS, Black Axe - Eyie, Nigeria: Biafra, Government of Nigeria - Civilians, Nigeria: Government, Cameroon: Ambazonia, Ambazonia insurgents - Civilians, JAS - Civilians, Atyap - Fulani), since September 2023. The most recent conflict event was on 30 August 2024.",September 2023,August 2024,12 months,UCDP GED Candidate (August 2024)
Central African Republic,CAF,482.0,140.0,CEN,296,51,"There have been an estimated 296 fatalities recorded in Central African Republic from 51 events in 3 conflict dyads (Central African Republic: Government, Central African Republic: Logone, CPC - Civilians), since September 2023. The most recent conflict event was on 21 August 2024.",September 2023,August 2024,12 months,UCDP GED Candidate (August 2024)
Chad,TCD,483.0,148.0,CHA,23,6,"There have been an estimated 23 fatalities recorded in Chad from 6 events in 2 conflict dyads (JAS - Civilians, Farmers (Chad) - Herders (Chad)), since September 2023. The most recent conflict event was on 27 August 2024.",September 2023,August 2024,12 months,UCDP GED Candidate (August 2024)
"Congo, Democratic Republic of the",COD,490.0,180.0,DRC,3073,424,"There have been an estimated 3073 fatalities recorded in DR Congo (Zaire) from 424 events in 19 conflict dyads (M23 - Civilians, Lengola - Mbole, DR Congo (Zaire): Government, IS - Civilians, URDPC - Civilians, VDP - M23, DR Congo (Zaire): Islamic State, Mobondo - Civilians, Government of DR Congo (Zaire) - Civilians, AFC - Civilians, AFC - VDP, Zaire self-defense group - Civilians, CNPSC - Mayi Mayi Biloze Bishambuke, AFC - URDPC, URDPC - Zaire self-defense group, FPIC Chambre noire sanduku - Civilians, ANCDH/AFDP, APCLS, CMC, FPP-AP, NDC-R - M23, FDBC - Civilians, Government of Rwanda - Civilians), since September 2023. The most recent conflict event was on 30 August 2024.",September 2023,August 2024,12 months,UCDP GED Candidate (August 2024)
Uganda,UGA,500.0,800.0,UGA,13,5,"There have been an estimated 13 fatalities recorded in Uganda from 5 events in the IS - Civilians conflict dyad, since September 2023. The most recent conflict event was on 25 December 2023.",September 2023,August 2024,12 months,UCDP GED Candidate (August 2024)
Kenya,KEN,501.0,404.0,KEN,67,28,"There have been an estimated 67 fatalities recorded in Kenya from 28 events in 2 conflict dyads (Al-Shabaab - Civilians, Kenya: Northeastern Province and Coast), since September 2023. The most recent conflict event was on 14 August 2024.",September 2023,August 2024,12 months,UCDP GED Candidate (August 2024)
