country_name,iso3c,gwno,iso_n,gwc,total_fatalities,nr_events,polygon_tooltip,from,to,length,last_update
Central African Republic,CAF,482.0,140.0,CEN,298,58,"There have been an estimated 298 fatalities recorded in Central African Republic from 58 events in 5 conflict dyads (Central African Republic: Government, Government of Central African Republic - Civilians, CPC - Civilians, AAKG - CPC, AAKG - Civilians), since May 2024. The most recent conflict event was on 07 May 2025.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Chad,TCD,483.0,148.0,CHA,203,15,"There have been an estimated 203 fatalities recorded in Chad from 15 events in 3 conflict dyads (JAS - Civilians, Farmers (Chad) - Herders (Chad), Nigeria: Government), since May 2024. The most recent conflict event was on 07 March 2025.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
"Congo, Democratic Republic of the",COD,490.0,180.0,DRC,12419,634,"There have been an estimated 12419 fatalities recorded in DR Congo (Zaire) from 634 events in 16 conflict dyads (AFC - VDP, AFC - Civilians, DR Congo (Zaire): Government, URDPC - Civilians, Government of DR Congo (Zaire) - Civilians, IS - Civilians, VDP - Civilians, Zaire self-defense group - Civilians, UPLD - Civilians, URDPC - Zaire self-defense group, Mobondo - Civilians, DR Congo (Zaire): Islamic State, Lengola - Mbole, CPC - Civilians, FDLR-FOCA - Civilians, Burundi: Government), since May 2024. The most recent conflict event was on 30 May 2025.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Kenya,KEN,501.0,404.0,KEN,72,17,"There have been an estimated 72 fatalities recorded in Kenya from 17 events in 4 conflict dyads (Kenya: Northeastern Province and Coast, Dassanetch - Turkana, Al-Shabaab - Civilians, Somalia: Government), since May 2024. The most recent conflict event was on 15 May 2025.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Burundi,BDI,516.0,108.0,BUI,39,32,"There have been an estimated 39 fatalities recorded in Burundi from 32 events in 2 conflict dyads (Government of Burundi - Civilians, Burundi: Government), since May 2024. The most recent conflict event was on 27 May 2025.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Rwanda,RWA,517.0,646.0,RWA,16,1,"There have been an estimated 16 fatalities recorded in Rwanda from 1 events in the DR Congo (Zaire): Government conflict dyad, since May 2024. The most recent conflict event was on 27 January 2025.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Somalia,SOM,520.0,706.0,SOM,3154,204,"There have been an estimated 3154 fatalities recorded in Somalia from 204 events in 5 conflict dyads (Somalia: Government, Somalia: Islamic State, Al-Shabaab - Civilians, Sa'ad subclan of Habar Gidir clan (Hawiye) - Leelkase subclan (Darod), Dir clan  - Marehan subclan (Darod)), since May 2024. The most recent conflict event was on 29 May 2025.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Ethiopia,ETH,530.0,231.0,ETH,3560,1250,"There have been an estimated 3560 fatalities recorded in Ethiopia from 1250 events in 6 conflict dyads (Ethiopia: Government/Amhara, Fano - Civilians, Government of Ethiopia - Civilians, Ethiopia: Oromiya, Dassanetch - Turkana, OLA - Civilians), since May 2024. The most recent conflict event was on 30 May 2025.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Mozambique,MOZ,541.0,508.0,MZM,510,186,"There have been an estimated 510 fatalities recorded in Mozambique from 186 events in 5 conflict dyads (Mozambique: Islamic State, Mozambique: Government, IS - Civilians, Government of Mozambique - Civilians, IS - Naparama), since May 2024. The most recent conflict event was on 29 May 2025.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Sudan,SDN,625.0,729.0,SUD,10035,738,"There have been an estimated 10035 fatalities recorded in Sudan from 738 events in 3 conflict dyads (Sudan: Government, RSF - Civilians, Government of Sudan - Civilians), since May 2024. The most recent conflict event was on 30 May 2025.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
South Sudan,SSD,626.0,728.0,SSD,43,2,"There have been an estimated 43 fatalities recorded in South Sudan from 2 events in 2 conflict dyads (Bor Dinka - Acholi, Murle, Sudan: Government), since May 2024. The most recent conflict event was on 31 January 2025.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Iran,IRN,630.0,364.0,IRN,71,22,"There have been an estimated 71 fatalities recorded in Iran from 22 events in 3 conflict dyads (Iran: Government, Israel: Palestine, Iran - Israel), since May 2024. The most recent conflict event was on 02 December 2024.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Turkey,TUR,640.0,792.0,TUR,30,26,"There have been an estimated 30 fatalities recorded in Turkey from 26 events in the Turkey: Kurdistan conflict dyad, since May 2024. The most recent conflict event was on 29 October 2024.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Iraq,IRQ,645.0,368.0,IRQ,309,199,"There have been an estimated 309 fatalities recorded in Iraq from 199 events in 3 conflict dyads (Turkey: Kurdistan, Iraq: Government, IS - Civilians), since May 2024. The most recent conflict event was on 30 May 2025.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Syria,SYR,652.0,760.0,SYR,3500,807,"There have been an estimated 3500 fatalities recorded in Syria from 807 events in 11 conflict dyads (IS - SDF, Government of Syria - Civilians, SNA - SDF, IS - Civilians, Syria: Government, Iran - Israel, Syria: Islamic State, Syria: Government/Rojava Kurdistan, Israel: Palestine, Israel: Southern Lebanon, Government of Israel - Civilians), since May 2024. The most recent conflict event was on 28 May 2025.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Lebanon,LBN,660.0,422.0,LEB,4147,1077,"There have been an estimated 4147 fatalities recorded in Lebanon from 1077 events in 2 conflict dyads (Israel: Southern Lebanon, Israel: Palestine), since May 2024. The most recent conflict event was on 29 May 2025.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Israel,ISR,666.0,376.0,ISR,18335,3048,"There have been an estimated 18335 fatalities recorded in Israel from 3048 events in 4 conflict dyads (Israel: Palestine, Government of Israel - Civilians, Israel: Southern Lebanon, Iran - Israel), since May 2024. The most recent conflict event was on 30 May 2025.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Saudi Arabia,SAU,670.0,682.0,SAU,5,1,"There have been an estimated 5 fatalities recorded in Saudi Arabia from 1 events in the Yemen (North Yemen): Government conflict dyad, since May 2024. The most recent conflict event was on 10 March 2025.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Yemen,YEM,678.0,887.0,YEM,1382,215,"There have been an estimated 1382 fatalities recorded in Yemen (North Yemen) from 215 events in 5 conflict dyads (Yemen (North Yemen): Government, AQAP - Forces of the Presidential Leadership Council, United Kingdom, United States of America - Yemen, Australia, Bahrain, Canada, France, Italy, Netherlands, New Zeeland, Norway, Spain, United Kingdom, United States of America - Yemen, Israel: Palestine), since May 2024. The most recent conflict event was on 29 May 2025.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Afghanistan,AFG,700.0,4.0,AFG,238,98,"There have been an estimated 238 fatalities recorded in Afghanistan from 98 events in 6 conflict dyads (Afghanistan: Islamic State, Pakistan: Government, Afghanistan - Pakistan, Afghanistan: Government, IS - Civilians, Government of Afghanistan - Civilians), since May 2024. The most recent conflict event was on 14 April 2025.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
India,IND,750.0,356.0,IND,599,182,"There have been an estimated 599 fatalities recorded in India from 182 events in 5 conflict dyads (India: Government, India: Kashmir, Kashmir insurgents - Civilians, CPI-Maoist - Civilians, Kuki - Meitei), since May 2024. The most recent conflict event was on 27 May 2025.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Pakistan,PAK,770.0,586.0,PAK,2572,835,"There have been an estimated 2572 fatalities recorded in Pakistan from 835 events in 8 conflict dyads (Pakistan: Balochistan, Pakistan: Government, India: Kashmir, IS - Civilians, TTP - Civilians, BRAS - Civilians, Shia (Pakistan) - Sunni (Pakistan), Afghanistan - Pakistan), since May 2024. The most recent conflict event was on 30 May 2025.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Bangladesh,BGD,771.0,50.0,BNG,353,39,"There have been an estimated 353 fatalities recorded in Bangladesh from 39 events in the Opponents of Hasina - Supporters of Awami League conflict dyad, since May 2024. The most recent conflict event was on 29 September 2024.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Myanmar (Burma),MMR,775.0,104.0,MYA,2474,761,"There have been an estimated 2474 fatalities recorded in Myanmar (Burma) from 761 events in 7 conflict dyads (Myanmar (Burma): Government, Government of Myanmar (Burma) - Civilians, Myanmar (Burma): Arakan, Myanmar (Burma): Karen, Myanmar (Burma): Kachin, Myanmar (Burma): Kokang, Myanmar (Burma): Pa-O), since May 2024. The most recent conflict event was on 29 May 2025.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Thailand,THA,800.0,764.0,THI,14,10,"There have been an estimated 14 fatalities recorded in Thailand from 10 events in the Thailand: Patani conflict dyad, since May 2024. The most recent conflict event was on 12 December 2024.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Philippines,PHL,840.0,608.0,PHI,92,33,"There have been an estimated 92 fatalities recorded in Philippines from 33 events in 2 conflict dyads (Philippines: Government, Philippines: Islamic State), since May 2024. The most recent conflict event was on 01 May 2025.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Indonesia,IDN,850.0,360.0,INS,25,19,"There have been an estimated 25 fatalities recorded in Indonesia from 19 events in the Indonesia: West Papua conflict dyad, since May 2024. The most recent conflict event was on 24 December 2024.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Papua New Guinea,PNG,910.0,598.0,PNG,58,4,"There have been an estimated 58 fatalities recorded in Papua New Guinea from 4 events in 2 conflict dyads (I don't care - Civilians, Piande - Sakar), since May 2024. The most recent conflict event was on 15 September 2024.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
