country_name,iso3c,gwno,iso_n,gwc,total_fatalities,nr_events,polygon_tooltip,from,to,length,last_update
Chad,TCD,483.0,148.0,CHA,203,15,"There have been an estimated 203 fatalities recorded in Chad from 15 events in 3 conflict dyads (JAS - Civilians, Farmers (Chad) - Herders (Chad), Nigeria: Government), since June 2024. The most recent conflict event was on 07 March 2025.",June 2024,June 2025,12 months,UCDP GED Candidate (June 2025)
"Congo, Democratic Republic of the",COD,490.0,180.0,DRC,12182,608,"There have been an estimated 12182 fatalities recorded in DR Congo (Zaire) from 608 events in 15 conflict dyads (IS - Civilians, DR Congo (Zaire): Government, AFC - Civilians, AFC - VDP, URDPC - Civilians, VDP - Civilians, Government of DR Congo (Zaire) - Civilians, Mobondo - Civilians, Zaire self-defense group - Civilians, URDPC - Zaire self-defense group, DR Congo (Zaire): Islamic State, Lengola - Mbole, CPC - Civilians, FDLR-FOCA - Civilians, Burundi: Government), since June 2024. The most recent conflict event was on 28 June 2025.",June 2024,June 2025,12 months,UCDP GED Candidate (June 2025)
Kenya,KEN,501.0,404.0,KEN,78,21,"There have been an estimated 78 fatalities recorded in Kenya from 21 events in 4 conflict dyads (Dassanetch - Turkana, Kenya: Northeastern Province and Coast, Al-Shabaab - Civilians, Somalia: Government), since June 2024. The most recent conflict event was on 18 June 2025.",June 2024,June 2025,12 months,UCDP GED Candidate (June 2025)
Burundi,BDI,516.0,108.0,BUI,39,33,"There have been an estimated 39 fatalities recorded in Burundi from 33 events in 2 conflict dyads (Government of Burundi - Civilians, Burundi: Government), since June 2024. The most recent conflict event was on 17 June 2025.",June 2024,June 2025,12 months,UCDP GED Candidate (June 2025)
Rwanda,RWA,517.0,646.0,RWA,16,1,"There have been an estimated 16 fatalities recorded in Rwanda from 1 events in the DR Congo (Zaire): Government conflict dyad, since June 2024. The most recent conflict event was on 27 January 2025.",June 2024,June 2025,12 months,UCDP GED Candidate (June 2025)
Somalia,SOM,520.0,706.0,SOM,3365,233,"There have been an estimated 3365 fatalities recorded in Somalia from 233 events in 3 conflict dyads (Somalia: Islamic State, Somalia: Government, Al-Shabaab - Civilians), since June 2024. The most recent conflict event was on 29 June 2025.",June 2024,June 2025,12 months,UCDP GED Candidate (June 2025)
Ethiopia,ETH,530.0,231.0,ETH,3560,1215,"There have been an estimated 3560 fatalities recorded in Ethiopia from 1215 events in 6 conflict dyads (Government of Ethiopia - Civilians, Ethiopia: Oromiya, Ethiopia: Government/Amhara, Dassanetch - Turkana, Fano - Civilians, OLA - Civilians), since June 2024. The most recent conflict event was on 28 June 2025.",June 2024,June 2025,12 months,UCDP GED Candidate (June 2025)
Mozambique,MOZ,541.0,508.0,MZM,573,190,"There have been an estimated 573 fatalities recorded in Mozambique from 190 events in 5 conflict dyads (Government of Mozambique - Civilians, IS - Civilians, Mozambique: Islamic State, Mozambique: Government, IS - Naparama), since June 2024. The most recent conflict event was on 29 June 2025.",June 2024,June 2025,12 months,UCDP GED Candidate (June 2025)
Sudan,SDN,625.0,729.0,SUD,9598,705,"There have been an estimated 9598 fatalities recorded in Sudan from 705 events in 3 conflict dyads (RSF - Civilians, Sudan: Government, Government of Sudan - Civilians), since June 2024. The most recent conflict event was on 29 June 2025.",June 2024,June 2025,12 months,UCDP GED Candidate (June 2025)
South Sudan,SSD,626.0,728.0,SSD,43,2,"There have been an estimated 43 fatalities recorded in South Sudan from 2 events in 2 conflict dyads (Bor Dinka - Acholi, Murle, Sudan: Government), since June 2024. The most recent conflict event was on 31 January 2025.",June 2024,June 2025,12 months,UCDP GED Candidate (June 2025)
