country_name,iso3c,gwno,iso_n,gwc,total_fatalities,nr_events,polygon_tooltip,from,to,length,last_update
Chad,TCD,483.0,148.0,CHA,226,17,"There have been an estimated 226 fatalities recorded in Chad from 17 events in 4 conflict dyads (Farmers (Chad) - Herders (Chad), Nigeria: Government, JAS - Civilians, Birgid - Kibete), since December 2023. The most recent conflict event was on 09 November 2024.",December 2023,November 2024,12 months,UCDP GED Candidate (November 2024)
"Congo, Democratic Republic of the",COD,490.0,180.0,DRC,3284,411,"There have been an estimated 3284 fatalities recorded in DR Congo (Zaire) from 411 events in 17 conflict dyads (URDPC - Civilians, IS - Civilians, Zaire self-defense group - Civilians, DR Congo (Zaire): Government, CNPSC - Mayi Mayi Biloze Bishambuke, M23 - Civilians, DR Congo (Zaire): Islamic State, VDP - Civilians, FDLR-FOCA - Civilians, Burundi: Government, Mobondo - Civilians, Government of DR Congo (Zaire) - Civilians, Lengola - Mbole, URDPC - Zaire self-defense group, AFC - Civilians, AFC - VDP, UPLD - Civilians), since December 2023. The most recent conflict event was on 29 November 2024.",December 2023,November 2024,12 months,UCDP GED Candidate (November 2024)
Uganda,UGA,500.0,800.0,UGA,8,2,"There have been an estimated 8 fatalities recorded in Uganda from 2 events in the IS - Civilians conflict dyad, since December 2023. The most recent conflict event was on 25 December 2023.",December 2023,November 2024,12 months,UCDP GED Candidate (November 2024)
Kenya,KEN,501.0,404.0,KEN,64,20,"There have been an estimated 64 fatalities recorded in Kenya from 20 events in 2 conflict dyads (Kenya: Northeastern Province and Coast, Al-Shabaab - Civilians), since December 2023. The most recent conflict event was on 22 November 2024.",December 2023,November 2024,12 months,UCDP GED Candidate (November 2024)
Burundi,BDI,516.0,108.0,BUI,73,45,"There have been an estimated 73 fatalities recorded in Burundi from 45 events in 2 conflict dyads (Burundi: Government, Government of Burundi - Civilians), since December 2023. The most recent conflict event was on 22 November 2024.",December 2023,November 2024,12 months,UCDP GED Candidate (November 2024)
Somalia,SOM,520.0,706.0,SOM,1907,149,"There have been an estimated 1907 fatalities recorded in Somalia from 149 events in 3 conflict dyads (Somalia: Government, Al-Shabaab - Civilians, Dir clan  - Marehan subclan (Darod)), since December 2023. The most recent conflict event was on 22 November 2024.",December 2023,November 2024,12 months,UCDP GED Candidate (November 2024)
Ethiopia,ETH,530.0,231.0,ETH,2726,609,"There have been an estimated 2726 fatalities recorded in Ethiopia from 609 events in 6 conflict dyads (Ethiopia: Oromiya, Government of Ethiopia - Civilians, Ethiopia: Government/Amhara, OLA - Civilians, Ethiopia: Amhara, Fano - Civilians), since December 2023. The most recent conflict event was on 29 November 2024.",December 2023,November 2024,12 months,UCDP GED Candidate (November 2024)
Mozambique,MOZ,541.0,508.0,MZM,292,97,"There have been an estimated 292 fatalities recorded in Mozambique from 97 events in 4 conflict dyads (Mozambique: Islamic State, IS - Civilians, Government of Mozambique - Civilians, IS - Naparama), since December 2023. The most recent conflict event was on 29 November 2024.",December 2023,November 2024,12 months,UCDP GED Candidate (November 2024)
Sudan,SDN,625.0,729.0,SUD,4353,488,"There have been an estimated 4353 fatalities recorded in Sudan from 488 events in 3 conflict dyads (RSF - Civilians, Sudan: Government, Twic Dinka - Ngok Dinka), since December 2023. The most recent conflict event was on 29 November 2024.",December 2023,November 2024,12 months,UCDP GED Candidate (November 2024)
Iran,IRN,630.0,364.0,IRN,141,15,"There have been an estimated 141 fatalities recorded in Iran from 15 events in 4 conflict dyads (Iran: Government, IS - Civilians, Pakistan: Balochistan, Israel: Palestine), since December 2023. The most recent conflict event was on 21 November 2024.",December 2023,November 2024,12 months,UCDP GED Candidate (November 2024)
Turkey,TUR,640.0,792.0,TUR,7,21,"There have been an estimated 7 fatalities recorded in Turkey from 21 events in 2 conflict dyads (Turkey: Kurdistan, IS - Civilians), since December 2023. The most recent conflict event was on 25 September 2024.",December 2023,November 2024,12 months,UCDP GED Candidate (November 2024)
Iraq,IRQ,645.0,368.0,IRQ,274,194,"There have been an estimated 274 fatalities recorded in Iraq from 194 events in 4 conflict dyads (Iraq: Government, Iran - Israel, Turkey: Kurdistan, IS - Civilians), since December 2023. The most recent conflict event was on 29 November 2024.",December 2023,November 2024,12 months,UCDP GED Candidate (November 2024)
Syria,SYR,652.0,760.0,SYR,2399,892,"There have been an estimated 2399 fatalities recorded in Syria from 892 events in 8 conflict dyads (IS - SDF, Syria: Government, Iran - Israel, SNA - SDF, Syria: Islamic State, IS - Civilians, Syria: Government/Rojava Kurdistan, Israel: Palestine), since December 2023. The most recent conflict event was on 29 November 2024.",December 2023,November 2024,12 months,UCDP GED Candidate (November 2024)
Lebanon,LBN,660.0,422.0,LEB,2608,664,"There have been an estimated 2608 fatalities recorded in Lebanon from 664 events in 2 conflict dyads (Israel: Southern Lebanon, Israel: Palestine), since December 2023. The most recent conflict event was on 27 November 2024.",December 2023,November 2024,12 months,UCDP GED Candidate (November 2024)
Israel,ISR,666.0,376.0,ISR,23115,2888,"There have been an estimated 23115 fatalities recorded in Israel from 2888 events in 5 conflict dyads (Israel: Palestine, Israel: Southern Lebanon, Government of Israel - Civilians, Hamas - Civilians, Iraq: Government), since December 2023. The most recent conflict event was on 29 November 2024.",December 2023,November 2024,12 months,UCDP GED Candidate (November 2024)
Yemen,YEM,678.0,887.0,YEM,582,133,"There have been an estimated 582 fatalities recorded in Yemen (North Yemen) from 133 events in 4 conflict dyads (Yemen (North Yemen): Government, Australia, Bahrain, Canada, France, Italy, Netherlands, New Zeeland, Norway, Spain, United Kingdom, United States of America - Yemen, AQAP - Forces of the Presidential Leadership Council, Israel: Palestine), since December 2023. The most recent conflict event was on 20 November 2024.",December 2023,November 2024,12 months,UCDP GED Candidate (November 2024)
Afghanistan,AFG,700.0,4.0,AFG,202,68,"There have been an estimated 202 fatalities recorded in Afghanistan from 68 events in 6 conflict dyads (Afghanistan: Government, IS - Civilians, Government of Afghanistan - Civilians, Afghanistan: Islamic State, Pakistan: Government, Afghanistan - Pakistan), since December 2023. The most recent conflict event was on 22 November 2024.",December 2023,November 2024,12 months,UCDP GED Candidate (November 2024)
India,IND,750.0,356.0,IND,422,183,"There have been an estimated 422 fatalities recorded in India from 183 events in 4 conflict dyads (India: Kashmir, CPI-Maoist - Civilians, Kuki - Meitei, India: Government), since December 2023. The most recent conflict event was on 22 November 2024.",December 2023,November 2024,12 months,UCDP GED Candidate (November 2024)
Pakistan,PAK,770.0,586.0,PAK,1491,587,"There have been an estimated 1491 fatalities recorded in Pakistan from 587 events in 7 conflict dyads (Shia (Pakistan) - Sunni (Pakistan), Pakistan: Balochistan, Pakistan: Government, TTP - Civilians, BRAS - Civilians, IS - Civilians, Afghanistan - Pakistan), since December 2023. The most recent conflict event was on 29 November 2024.",December 2023,November 2024,12 months,UCDP GED Candidate (November 2024)
Bangladesh,BGD,771.0,50.0,BNG,355,40,"There have been an estimated 355 fatalities recorded in Bangladesh from 40 events in 2 conflict dyads (Myanmar (Burma): Arakan, Opponents of Hasina - Supporters of Awami League), since December 2023. The most recent conflict event was on 29 September 2024.",December 2023,November 2024,12 months,UCDP GED Candidate (November 2024)
Myanmar (Burma),MMR,775.0,104.0,MYA,2453,1000,"There have been an estimated 2453 fatalities recorded in Myanmar (Burma) from 1000 events in 8 conflict dyads (Myanmar (Burma): Government, Government of Myanmar (Burma) - Civilians, Myanmar (Burma): Arakan, Myanmar (Burma): Karen, Myanmar (Burma): Karenni, Myanmar (Burma): Kachin, Myanmar (Burma): Kokang, Myanmar (Burma): Pa-O), since December 2023. The most recent conflict event was on 29 November 2024.",December 2023,November 2024,12 months,UCDP GED Candidate (November 2024)
Thailand,THA,800.0,764.0,THI,32,23,"There have been an estimated 32 fatalities recorded in Thailand from 23 events in the Thailand: Patani conflict dyad, since December 2023. The most recent conflict event was on 08 August 2024.",December 2023,November 2024,12 months,UCDP GED Candidate (November 2024)
Philippines,PHL,840.0,608.0,PHI,207,70,"There have been an estimated 207 fatalities recorded in Philippines from 70 events in 3 conflict dyads (Philippines: Islamic State, IS - Civilians, Philippines: Government), since December 2023. The most recent conflict event was on 21 November 2024.",December 2023,November 2024,12 months,UCDP GED Candidate (November 2024)
Indonesia,IDN,850.0,360.0,INS,124,34,"There have been an estimated 124 fatalities recorded in Indonesia from 34 events in the Indonesia: West Papua conflict dyad, since December 2023. The most recent conflict event was on 10 September 2024.",December 2023,November 2024,12 months,UCDP GED Candidate (November 2024)
Papua New Guinea,PNG,910.0,598.0,PNG,130,5,"There have been an estimated 130 fatalities recorded in Papua New Guinea from 5 events in 3 conflict dyads (Piande - Sakar, Ambulin, Lungipin, Nenei, Sau, Sau Walep, Yandamau, Yokoend, Yopo - Kaekin, Palinau, Sikin, I don't care - Civilians), since December 2023. The most recent conflict event was on 15 September 2024.",December 2023,November 2024,12 months,UCDP GED Candidate (November 2024)
